character,name,url,in_degree,out_degree,in_rank,out_rank,rank_gap
Ursa_Major_(character),Ursa Major (character),https://en.wikipedia.org/wiki/Ursa_Major_(character),0,4,300,171,129
Jack_Frost_(Marvel_Comics),Jack Frost (Marvel Comics),https://en.wikipedia.org/wiki/Jack_Frost_(Marvel_Comics),1,7,228,100,128
Mania_(character),Mania (character),https://en.wikipedia.org/wiki/Mania_(character),1,7,232,104,128
Zombie_(comics),Zombie (comics),https://en.wikipedia.org/wiki/Zombie_(comics),0,4,303,175,128
Frankenstein's_Monster_(Marvel_Comics),Frankenstein's Monster (Marvel Comics),https://en.wikipedia.org/wiki/Frankenstein%27s_Monster_(Marvel_Comics),2,11,175,50,125
Thin_Man_(character),Thin Man (character),https://en.wikipedia.org/wiki/Thin_Man_(character),3,1,156,281,125
Black_Marvel,Black Marvel,https://en.wikipedia.org/wiki/Black_Marvel,5,2,94,218,124
Genis-Vell,Genis-Vell,https://en.wikipedia.org/wiki/Genis-Vell,7,3,70,188,118
Noh-Varr,Noh-Varr,https://en.wikipedia.org/wiki/Noh-Varr,4,18,125,9,116
Silk_(character),Silk (character),https://en.wikipedia.org/wiki/Silk_(character),10,4,52,168,116
Gremlin_(comics),Gremlin (comics),https://en.wikipedia.org/wiki/Gremlin_(comics),0,4,267,154,113
Garrison_Kane,Garrison Kane,https://en.wikipedia.org/wiki/Garrison_Kane,1,6,223,112,111
Crippler_(character),Crippler (character),https://en.wikipedia.org/wiki/Crippler_(character),0,4,257,151,106
Spider-UK,Spider-UK,https://en.wikipedia.org/wiki/Spider-UK,2,8,195,89,106
Human_Torch,Human Torch,https://en.wikipedia.org/wiki/Human_Torch,17,5,25,129,104
Synapse_(character),Synapse (character),https://en.wikipedia.org/wiki/Synapse_(character),2,0,199,301,102
Deathlok,Deathlok,https://en.wikipedia.org/wiki/Deathlok,17,5,24,125,101
Jean_Grey_(X-Men_film_series),Jean Grey (X-Men film series),https://en.wikipedia.org/wiki/Jean_Grey_(X-Men_film_series),1,5,230,132,98
Northstar_(character),Northstar (character),https://en.wikipedia.org/wiki/Northstar_(character),4,14,126,28,98
Iron_Man_(Ultimate_Marvel_character),Iron Man (Ultimate Marvel character),https://en.wikipedia.org/wiki/Iron_Man_(Ultimate_Marvel_character),1,5,227,131,96
Nightmask,Nightmask,https://en.wikipedia.org/wiki/Nightmask,5,3,103,197,94
Phil_Urich,Phil Urich,https://en.wikipedia.org/wiki/Phil_Urich,5,3,106,200,94
Backhand_(character),Backhand (character),https://en.wikipedia.org/wiki/Backhand_(character),2,1,162,254,92
Blackthorn_(character),Blackthorn (character),https://en.wikipedia.org/wiki/Blackthorn_(character),2,1,164,256,92
Firelord_(character),Firelord (character),https://en.wikipedia.org/wiki/Firelord_(character),2,1,174,266,92
Toxyn,Toxyn,https://en.wikipedia.org/wiki/Toxyn,3,2,158,250,92
Kid_Colt,Kid Colt,https://en.wikipedia.org/wiki/Kid_Colt,3,2,141,232,91
Vyking,Vyking,https://en.wikipedia.org/wiki/Vyking,3,2,160,251,91
Surge_(Marvel_Comics),Surge (Marvel Comics),https://en.wikipedia.org/wiki/Surge_(Marvel_Comics),3,2,155,245,90
Thor_Girl,Thor Girl,https://en.wikipedia.org/wiki/Thor_Girl,3,2,157,247,90
Citizen_V,Citizen V,https://en.wikipedia.org/wiki/Citizen_V,2,1,170,259,89
Debrii,Debrii,https://en.wikipedia.org/wiki/Debrii,1,5,215,126,89
Ravage_2099,Ravage 2099,https://en.wikipedia.org/wiki/Ravage_2099,3,2,147,235,88
Delroy_Garrett,Delroy Garrett,https://en.wikipedia.org/wiki/Delroy_Garrett,5,3,95,182,87
Spider-Man_(Marvel_Mangaverse),Spider-Man (Marvel Mangaverse),https://en.wikipedia.org/wiki/Spider-Man_(Marvel_Mangaverse),0,3,295,209,86
Wild_Child_(character),Wild Child (character),https://en.wikipedia.org/wiki/Wild_Child_(character),0,3,301,215,86
Captain_Marvel_(Khn'nr),Captain Marvel (Khn'nr),https://en.wikipedia.org/wiki/Captain_Marvel_(Khn%27nr),3,2,138,222,84
Oya_(comics),Oya (comics),https://en.wikipedia.org/wiki/Oya_(comics),0,3,283,199,84
Balder_the_Brave,Balder the Brave,https://en.wikipedia.org/wiki/Balder_the_Brave,3,2,135,216,81
Battlestar_(character),Battlestar (character),https://en.wikipedia.org/wiki/Battlestar_(character),3,2,136,217,81
Fabio_Medina,Fabio Medina,https://en.wikipedia.org/wiki/Fabio_Medina,0,3,265,184,81
Inferno_(Dante_Pertuz),Inferno (Dante Pertuz),https://en.wikipedia.org/wiki/Inferno_(Dante_Pertuz),0,3,274,193,81
U.S._Agent,U.S. Agent,https://en.wikipedia.org/wiki/U.S._Agent,6,20,87,6,81
Ulysses_Bloodstone,Ulysses Bloodstone,https://en.wikipedia.org/wiki/Ulysses_Bloodstone,2,1,202,283,81
Yelena_Belova,Yelena Belova,https://en.wikipedia.org/wiki/Yelena_Belova,2,6,204,123,81
Black_Widow_(Natasha_Romanova),Black Widow (Natasha Romanova),https://en.wikipedia.org/wiki/Black_Widow_(Natasha_Romanova),22,7,15,95,80
Hawkeye_(comics),Hawkeye (comics),https://en.wikipedia.org/wiki/Hawkeye_(comics),0,3,269,190,79
Shuri_(character),Shuri (character),https://en.wikipedia.org/wiki/Shuri_(character),3,9,153,74,79
Thena,Thena,https://en.wikipedia.org/wiki/Thena,2,1,201,280,79
Sabra_(character),Sabra (character),https://en.wikipedia.org/wiki/Sabra_(character),3,9,150,73,77
Union_Jack_(Marvel_Comics),Union Jack (Marvel Comics),https://en.wikipedia.org/wiki/Union_Jack_(Marvel_Comics),8,5,67,143,76
Guardian_(Marvel_Comics),Guardian (Marvel Comics),https://en.wikipedia.org/wiki/Guardian_(Marvel_Comics),6,4,81,155,74
Spider-Man,Spider-Man,https://en.wikipedia.org/wiki/Spider-Man,106,9,1,75,74
She-Hulk_(Lyra),She-Hulk (Lyra),https://en.wikipedia.org/wiki/She-Hulk_(Lyra),2,6,192,119,73
Iron_Man_2020,Iron Man 2020,https://en.wikipedia.org/wiki/Iron_Man_2020,4,3,122,194,72
Kismet_(Marvel_Comics),Kismet (Marvel Comics),https://en.wikipedia.org/wiki/Kismet_(Marvel_Comics),3,9,142,70,72
"Bob,_Agent_of_Hydra","Bob, Agent of Hydra","https://en.wikipedia.org/wiki/Bob,_Agent_of_Hydra",2,7,167,96,71
Hank_Pym,Hank Pym,https://en.wikipedia.org/wiki/Hank_Pym,24,8,11,82,71
Janice_Lincoln,Janice Lincoln,https://en.wikipedia.org/wiki/Janice_Lincoln,1,4,229,159,70
Motormouth_(comics),Motormouth (comics),https://en.wikipedia.org/wiki/Motormouth_(comics),1,4,233,163,70
Hellion_(character),Hellion (character),https://en.wikipedia.org/wiki/Hellion_(character),4,11,120,51,69
Powerhouse_(Marvel_Comics),Powerhouse (Marvel Comics),https://en.wikipedia.org/wiki/Powerhouse_(Marvel_Comics),1,4,235,166,69
Betsy_Braddock,Betsy Braddock,https://en.wikipedia.org/wiki/Betsy_Braddock,7,28,68,1,67
Spider-Girl,Spider-Girl,https://en.wikipedia.org/wiki/Spider-Girl,5,12,109,43,66
Ch'od,Ch'od,https://en.wikipedia.org/wiki/Ch%27od,4,3,115,180,65
Empath_(character),Empath (character),https://en.wikipedia.org/wiki/Empath_(character),4,3,118,183,65
Frog-Man,Frog-Man,https://en.wikipedia.org/wiki/Frog-Man,2,6,176,111,65
Jericho_Drumm,Jericho Drumm,https://en.wikipedia.org/wiki/Jericho_Drumm,13,7,37,101,64
Spider-Man_Noir,Spider-Man Noir,https://en.wikipedia.org/wiki/Spider-Man_Noir,7,5,76,140,64
Agent_X_(Marvel_Comics),Agent X (Marvel Comics),https://en.wikipedia.org/wiki/Agent_X_(Marvel_Comics),4,3,113,176,63
Black_Knight_(Marvel_Comics),Black Knight (Marvel Comics),https://en.wikipedia.org/wiki/Black_Knight_(Marvel_Comics),4,3,114,177,63
Bug_(Marvel_Comics),Bug (Marvel Comics),https://en.wikipedia.org/wiki/Bug_(Marvel_Comics),1,4,212,149,63
Darkdevil,Darkdevil,https://en.wikipedia.org/wiki/Darkdevil,1,4,214,152,62
Doctor_Spectrum,Alice Nugent,https://en.wikipedia.org/wiki/Doctor_Spectrum,2,6,171,109,62
Dusk_(comics),Dusk (comics),https://en.wikipedia.org/wiki/Dusk_(comics),2,6,172,110,62
Gwenpool,Gwenpool,https://en.wikipedia.org/wiki/Gwenpool,6,15,82,20,62
Black_Rider_(character),Black Rider (character),https://en.wikipedia.org/wiki/Black_Rider_(character),1,4,208,147,61
Luke_Cage,Luke Cage,https://en.wikipedia.org/wiki/Luke_Cage,25,9,10,71,61
The_Witness_(character),The Witness (character),https://en.wikipedia.org/wiki/The_Witness_(character),1,0,241,302,61
Ajak,Ajak,https://en.wikipedia.org/wiki/Ajak,1,4,205,145,60
Elsa_Bloodstone,Elsa Bloodstone,https://en.wikipedia.org/wiki/Elsa_Bloodstone,5,12,97,37,60
Moondragon,Moondragon,https://en.wikipedia.org/wiki/Moondragon,11,7,45,105,60
Nomad_(Marvel_Comics),Nomad (Marvel Comics),https://en.wikipedia.org/wiki/Nomad_(Marvel_Comics),5,4,104,164,60
Vindicator_(comics),Vindicator (comics),https://en.wikipedia.org/wiki/Vindicator_(comics),5,4,112,172,60
Sentry_(Robert_Reynolds),Sentry (Robert Reynolds),https://en.wikipedia.org/wiki/Sentry_(Robert_Reynolds),9,6,59,118,59
White_Tiger_(comics),White Tiger (comics),https://en.wikipedia.org/wiki/White_Tiger_(comics),2,5,203,144,59
Adam_Warlock,Adam Warlock,https://en.wikipedia.org/wiki/Adam_Warlock,8,22,61,3,58
Blazing_Skull,Blazing Skull,https://en.wikipedia.org/wiki/Blazing_Skull,3,8,137,79,58
Doctor_Druid,Doctor Druid,https://en.wikipedia.org/wiki/Doctor_Druid,5,4,96,153,57
Blue_Bullet,Blue Bullet,https://en.wikipedia.org/wiki/Blue_Bullet,2,2,165,220,55
Captain_Universe,Captain Universe,https://en.wikipedia.org/wiki/Captain_Universe,6,14,79,24,55
Hulk,Hulk,https://en.wikipedia.org/wiki/Hulk,64,10,2,57,55
Shatterstar,Shatterstar,https://en.wikipedia.org/wiki/Shatterstar,3,3,152,206,54
Starhawk_(character),Starhawk (character),https://en.wikipedia.org/wiki/Starhawk_(character),2,5,196,142,54
Hulk_2099,Hulk 2099,https://en.wikipedia.org/wiki/Hulk_2099,2,2,177,230,53
Robbie_Baldwin,Robbie Baldwin,https://en.wikipedia.org/wiki/Robbie_Baldwin,6,13,85,32,53
Scaredycat,Scaredycat,https://en.wikipedia.org/wiki/Scaredycat,3,3,151,204,53
Turbo_(comics),Turbo (comics),https://en.wikipedia.org/wiki/Turbo_(comics),3,3,159,212,53
Outlaw_(Marvel_Comics),Outlaw (Marvel Comics),https://en.wikipedia.org/wiki/Outlaw_(Marvel_Comics),6,5,84,136,52
Straw_Man_(comics),Straw Man (comics),https://en.wikipedia.org/wiki/Straw_Man_(comics),0,2,296,244,52
Killpower,Killpower,https://en.wikipedia.org/wiki/Killpower,2,2,182,233,51
Lei_Kung_(character),Lei Kung (character),https://en.wikipedia.org/wiki/Lei_Kung_(character),3,3,144,195,51
Raza_Longknife,Raza Longknife,https://en.wikipedia.org/wiki/Raza_Longknife,2,5,187,137,50
Thunderbolt_(Marvel_Comics),Thunderbolt (Marvel Comics),https://en.wikipedia.org/wiki/Thunderbolt_(Marvel_Comics),0,2,298,248,50
Killraven,Killraven,https://en.wikipedia.org/wiki/Killraven,2,5,183,134,49
Marvel_Boy_(Robert_Grayson),Marvel Boy (Robert Grayson),https://en.wikipedia.org/wiki/Marvel_Boy_(Robert_Grayson),2,2,185,234,49
Rockman_(character),Rockman (character),https://en.wikipedia.org/wiki/Rockman_(character),0,2,285,236,49
Ruby_Summers,Ruby Summers,https://en.wikipedia.org/wiki/Ruby_Summers,0,2,286,237,49
Scarlet_Scarab,Scarlet Scarab,https://en.wikipedia.org/wiki/Scarlet_Scarab,0,2,287,238,49
Silencer_(comics),Silencer (comics),https://en.wikipedia.org/wiki/Silencer_(comics),0,2,291,242,49
Silhouette_(comics),Silhouette (comics),https://en.wikipedia.org/wiki/Silhouette_(comics),0,2,292,243,49
Black_Jack_Tarr,Black Jack Tarr,https://en.wikipedia.org/wiki/Black_Jack_Tarr,1,1,207,255,48
Gauntlet_(Joseph_Green),Gauntlet (Joseph Green),https://en.wikipedia.org/wiki/Gauntlet_(Joseph_Green),3,3,139,187,48
Hybrid_(Scott_Washington),Hybrid (Scott Washington),https://en.wikipedia.org/wiki/Hybrid_(Scott_Washington),2,5,178,130,48
Justice_(New_Universe),Justice (New Universe),https://en.wikipedia.org/wiki/Justice_(New_Universe),2,5,181,133,48
Scatterbrain_(Morituri),Scatterbrain (Morituri),https://en.wikipedia.org/wiki/Scatterbrain_(Morituri),2,2,191,239,48
Scorpio_(Marvel_Comics),Scorpio (Marvel Comics),https://en.wikipedia.org/wiki/Scorpio_(Marvel_Comics),0,2,288,240,48
Alex_Wilder,Alex Wilder,https://en.wikipedia.org/wiki/Alex_Wilder,1,1,206,253,47
Force_(comics),Force (comics),https://en.wikipedia.org/wiki/Force_(comics),1,1,221,267,46
Paladin_(comics),Paladin (comics),https://en.wikipedia.org/wiki/Paladin_(comics),5,10,105,59,46
The_Union_(Marvel),The Union (Marvel),https://en.wikipedia.org/wiki/The_Union_(Marvel),2,2,200,246,46
Dragon_Lord_(character),Dragon Lord (character),https://en.wikipedia.org/wiki/Dragon_Lord_(character),1,1,218,263,45
John_Jameson_(character),John Jameson (character),https://en.wikipedia.org/wiki/John_Jameson_(character),9,7,57,102,45
Junior_Juniper,Junior Juniper,https://en.wikipedia.org/wiki/Junior_Juniper,0,2,276,231,45
Hrimhari,Hrimhari,https://en.wikipedia.org/wiki/Hrimhari,1,1,226,270,44
Werewolf_by_Night,Werewolf by Night,https://en.wikipedia.org/wiki/Werewolf_by_Night,7,13,77,33,44
Machine_Man,Machine Man,https://en.wikipedia.org/wiki/Machine_Man,6,12,83,40,43
Radioactive_Man_(comics),Radioactive Man (comics),https://en.wikipedia.org/wiki/Radioactive_Man_(comics),4,8,128,85,43
Hyperion_(character),Hyperion (character),https://en.wikipedia.org/wiki/Hyperion_(character),7,6,72,114,42
Cloak_and_Dagger_(characters),Cloak and Dagger (characters),https://en.wikipedia.org/wiki/Cloak_and_Dagger_(characters),11,24,43,2,41
Morbius,Morbius,https://en.wikipedia.org/wiki/Morbius,9,16,58,17,41
Xorn,Xorn,https://en.wikipedia.org/wiki/Xorn,4,8,133,93,40
Beta_Ray_Bill,Beta Ray Bill,https://en.wikipedia.org/wiki/Beta_Ray_Bill,2,5,163,124,39
Cyclops_(Marvel_Comics),Cyclops (Marvel Comics),https://en.wikipedia.org/wiki/Cyclops_(Marvel_Comics),26,11,9,48,39
Baymax,Baymax,https://en.wikipedia.org/wiki/Baymax,0,0,246,284,38
Bird-Brain_(Marvel_Comics),Bird-Brain (Marvel Comics),https://en.wikipedia.org/wiki/Bird-Brain_(Marvel_Comics),0,0,247,285,38
Black_Fox_(Robert_Paine),Black Fox (Robert Paine),https://en.wikipedia.org/wiki/Black_Fox_(Robert_Paine),0,0,248,286,38
Jessica_Jones,Jessica Jones,https://en.wikipedia.org/wiki/Jessica_Jones,8,14,63,25,38
Toro_(character),Toro (character),https://en.wikipedia.org/wiki/Toro_(character),4,4,131,169,38
Two-Gun_Kid,Two-Gun Kid,https://en.wikipedia.org/wiki/Two-Gun_Kid,4,4,132,170,38
Black_Panther_(character),Black Panther (character),https://en.wikipedia.org/wiki/Black_Panther_(character),27,11,8,45,37
Devil_Dinosaur,Devil Dinosaur,https://en.wikipedia.org/wiki/Devil_Dinosaur,4,8,117,80,37
Human_Torch_(android),Human Torch (android),https://en.wikipedia.org/wiki/Human_Torch_(android),14,9,32,69,37
Kristoff_Vernard,Kristoff Vernard,https://en.wikipedia.org/wiki/Kristoff_Vernard,4,4,124,161,37
Brain_Drain_(character),Brain Drain (character),https://en.wikipedia.org/wiki/Brain_Drain_(character),0,0,251,287,36
Breeze_Barton,Breeze Barton,https://en.wikipedia.org/wiki/Breeze_Barton,0,0,252,288,36
Captain_Midlands,Captain Midlands,https://en.wikipedia.org/wiki/Captain_Midlands,0,0,253,289,36
Emrys_Killebrew,Emrys Killebrew,https://en.wikipedia.org/wiki/Emrys_Killebrew,0,2,262,226,36
Nightwatch_(character),Nightwatch (character),https://en.wikipedia.org/wiki/Nightwatch_(character),1,3,234,198,36
Charcoal_(comics),Charcoal (comics),https://en.wikipedia.org/wiki/Charcoal_(comics),0,0,255,290,35
Flatman_(character),Flatman (character),https://en.wikipedia.org/wiki/Flatman_(character),1,3,220,185,35
Golem_(Marvel_Comics),Golem (Marvel Comics),https://en.wikipedia.org/wiki/Golem_(Marvel_Comics),1,3,224,189,35
Hornet_(comics),Hornet (comics),https://en.wikipedia.org/wiki/Hornet_(comics),4,4,121,156,35
Magician_(Marvel_Comics),Magician (Marvel Comics),https://en.wikipedia.org/wiki/Magician_(Marvel_Comics),1,3,231,196,35
Rocket_Raccoon,Rocket Raccoon,https://en.wikipedia.org/wiki/Rocket_Raccoon,10,8,51,86,35
Chase_Stein,Chase Stein,https://en.wikipedia.org/wiki/Chase_Stein,4,4,116,150,34
Dargo_Ktor,Dargo Ktor,https://en.wikipedia.org/wiki/Dargo_Ktor,0,2,258,224,34
Hit-Monkey,Hit-Monkey,https://en.wikipedia.org/wiki/Hit-Monkey,1,3,225,191,34
Speed_(character),Speed (character),https://en.wikipedia.org/wiki/Speed_(character),3,6,154,120,34
Captain_Marvel_(Marvel_Comics),Captain Marvel (Marvel Comics),https://en.wikipedia.org/wiki/Captain_Marvel_(Marvel_Comics),9,14,56,23,33
Coldblood,Coldblood,https://en.wikipedia.org/wiki/Coldblood,0,2,256,223,33
Ghost_Rider_(Johnny_Blaze),Ghost Rider (Johnny Blaze),https://en.wikipedia.org/wiki/Ghost_Rider_(Johnny_Blaze),10,8,48,81,33
Gladiator_(Kallark),Gladiator (Kallark),https://en.wikipedia.org/wiki/Gladiator_(Kallark),6,6,80,113,33
Hulkling,Hulkling,https://en.wikipedia.org/wiki/Hulkling,5,9,101,68,33
Union_Jack_(Joseph_Chapman),Union Jack (Joseph Chapman),https://en.wikipedia.org/wiki/Union_Jack_(Joseph_Chapman),6,6,88,121,33
Whizzer_(Robert_Frank),Whizzer (Robert Frank),https://en.wikipedia.org/wiki/Whizzer_(Robert_Frank),6,6,89,122,33
Crane_Mother,Crane Mother,https://en.wikipedia.org/wiki/Crane_Mother,1,3,213,181,32
Rikki_Barnes,Rikki Barnes,https://en.wikipedia.org/wiki/Rikki_Barnes,3,6,148,116,32
Rockslide_(character),Rockslide (character),https://en.wikipedia.org/wiki/Rockslide_(character),3,6,149,117,32
Skull_the_Slayer,Skull the Slayer,https://en.wikipedia.org/wiki/Skull_the_Slayer,1,3,238,207,31
Spitfire_(character),Spitfire (character),https://en.wikipedia.org/wiki/Spitfire_(character),5,5,110,141,31
Vulcan_(Marvel_Comics),Vulcan (Marvel Comics),https://en.wikipedia.org/wiki/Vulcan_(Marvel_Comics),9,8,60,91,31
Anole_(character),Anole (character),https://en.wikipedia.org/wiki/Anole_(character),6,6,78,108,30
Blackwulf,Blackwulf,https://en.wikipedia.org/wiki/Blackwulf,0,2,249,219,30
Red_Guardian,Red Guardian,https://en.wikipedia.org/wiki/Red_Guardian,5,5,108,138,30
Typeface_(character),Typeface (character),https://en.wikipedia.org/wiki/Typeface_(character),1,3,243,213,30
White_Tiger_(Heroes_for_Hire),White Tiger (Heroes for Hire),https://en.wikipedia.org/wiki/White_Tiger_(Heroes_for_Hire),1,3,244,214,30
Black_Bolt,Black Bolt,https://en.wikipedia.org/wiki/Black_Bolt,13,9,34,63,29
Cable_(character),Cable (character),https://en.wikipedia.org/wiki/Cable_(character),21,11,18,47,29
Eddie_Brock,Eddie Brock,https://en.wikipedia.org/wiki/Eddie_Brock,11,16,44,15,29
Gargoyle_(comics),Gargoyle (comics),https://en.wikipedia.org/wiki/Gargoyle_(comics),5,5,99,127,28
Ghost_Rider_(Danny_Ketch),Ghost Rider (Danny Ketch),https://en.wikipedia.org/wiki/Ghost_Rider_(Danny_Ketch),7,7,71,97,26
Nova_(Richard_Rider),Nova (Richard Rider),https://en.wikipedia.org/wiki/Nova_(Richard_Rider),16,11,27,53,26
Spider-Woman_(Jessica_Drew),Spider-Woman (Jessica Drew),https://en.wikipedia.org/wiki/Spider-Woman_(Jessica_Drew),16,11,29,55,26
Father_Time_(Marvel_Comics),Father Time (Marvel Comics),https://en.wikipedia.org/wiki/Father_Time_(Marvel_Comics),0,0,266,291,25
Jean_Grey,Jean Grey,https://en.wikipedia.org/wiki/Jean_Grey,23,12,14,39,25
Happy_Sam_Sawyer,Happy Sam Sawyer,https://en.wikipedia.org/wiki/Happy_Sam_Sawyer,0,0,268,292,24
Satana_(Marvel_Comics),Satana (Marvel Comics),https://en.wikipedia.org/wiki/Satana_(Marvel_Comics),4,7,130,106,24
Iron_Lad,Iron Lad,https://en.wikipedia.org/wiki/Iron_Lad,2,4,180,157,23
Puck_(Marvel_Comics),Puck (Marvel Comics),https://en.wikipedia.org/wiki/Puck_(Marvel_Comics),5,8,107,84,23
Rom_the_Space_Knight,Rom the Space Knight,https://en.wikipedia.org/wiki/Rom_the_Space_Knight,8,8,64,87,23
Hellfire_(J._T._Slade),Hellfire (J. T. Slade),https://en.wikipedia.org/wiki/Hellfire_(J._T._Slade),0,0,271,293,22
Leech_(character),Leech (character),https://en.wikipedia.org/wiki/Leech_(character),2,4,184,162,22
Ricochet_(comics),Ricochet (comics),https://en.wikipedia.org/wiki/Ricochet_(comics),2,4,189,167,22
Scarlet_Witch,Scarlet Witch,https://en.wikipedia.org/wiki/Scarlet_Witch,28,14,7,29,22
Venom_(character),Venom (character),https://en.wikipedia.org/wiki/Venom_(character),17,21,26,4,22
Guardsman_(character),Guardsman (character),https://en.wikipedia.org/wiki/Guardsman_(character),4,7,119,98,21
Illuminator_(Marvel_Comics),Illuminator (Marvel Comics),https://en.wikipedia.org/wiki/Illuminator_(Marvel_Comics),0,0,273,294,21
Power_Man_(Victor_Alvarez),Power Man (Victor Alvarez),https://en.wikipedia.org/wiki/Power_Man_(Victor_Alvarez),2,4,186,165,21
Star-Lord,Star-Lord,https://en.wikipedia.org/wiki/Star-Lord,12,10,41,62,21
Vance_Astrovik,Vance Astrovik,https://en.wikipedia.org/wiki/Vance_Astrovik,5,8,111,90,21
Karnak_(character),Karnak (character),https://en.wikipedia.org/wiki/Karnak_(character),4,7,123,103,20
Rachel_Summers,Rachel Summers,https://en.wikipedia.org/wiki/Rachel_Summers,16,19,28,8,20
Bill_Foster_(character),Bill Foster (character),https://en.wikipedia.org/wiki/Bill_Foster_(character),9,12,54,35,19
Blue_Marvel,Blue Marvel,https://en.wikipedia.org/wiki/Blue_Marvel,2,4,166,148,18
Jack_Monroe_(character),Jack Monroe (character),https://en.wikipedia.org/wiki/Jack_Monroe_(character),3,4,140,158,18
Ghost_Rider,Ghost Rider,https://en.wikipedia.org/wiki/Ghost_Rider,13,15,36,19,17
Korvus,Korvus,https://en.wikipedia.org/wiki/Korvus,3,4,143,160,17
Thunderclap_(comics),Thunderclap (comics),https://en.wikipedia.org/wiki/Thunderclap_(comics),0,1,299,282,17
Miracleman_(character),Miracleman (character),https://en.wikipedia.org/wiki/Miracleman_(character),0,0,279,295,16
Shang-Chi,Shang-Chi,https://en.wikipedia.org/wiki/Shang-Chi,13,11,39,54,15
Snapdragon_(Morituri),Snapdragon (Morituri),https://en.wikipedia.org/wiki/Snapdragon_(Morituri),2,3,193,208,15
Solomon_Kane_(comics),Solomon Kane (comics),https://en.wikipedia.org/wiki/Solomon_Kane_(comics),0,1,294,279,15
Abomination_(character),Abomination (character),https://en.wikipedia.org/wiki/Abomination_(character),5,8,91,77,14
Arabian_Knight_(character),Arabian Knight (character),https://en.wikipedia.org/wiki/Arabian_Knight_(character),5,8,92,78,14
Mockingbird_(Marvel_Comics),Mockingbird (Marvel Comics),https://en.wikipedia.org/wiki/Mockingbird_(Marvel_Comics),13,11,38,52,14
Ogre_(Marvel_Comics),Ogre (Marvel Comics),https://en.wikipedia.org/wiki/Ogre_(Marvel_Comics),0,0,282,296,14
Patsy_Walker,Patsy Walker,https://en.wikipedia.org/wiki/Patsy_Walker,7,10,74,60,14
Red_Raven_(Marvel_Comics),Red Raven (Dania),https://en.wikipedia.org/wiki/Red_Raven_(Marvel_Comics),2,3,188,202,14
Anya_Corazon,Anya Corazon,https://en.wikipedia.org/wiki/Anya_Corazon,10,12,47,34,13
Blade_(character),Blade (character),https://en.wikipedia.org/wiki/Blade_(character),17,12,23,36,13
Darkhawk,Darkhawk,https://en.wikipedia.org/wiki/Darkhawk,8,11,62,49,13
Ikaris,Ikaris,https://en.wikipedia.org/wiki/Ikaris,2,3,179,192,13
Rusty_Collins,Rusty Collins,https://en.wikipedia.org/wiki/Rusty_Collins,2,3,190,203,13
Starr_the_Slayer,Starr the Slayer,https://en.wikipedia.org/wiki/Starr_the_Slayer,2,3,197,210,13
Steel_Spider,Steel Spider,https://en.wikipedia.org/wiki/Steel_Spider,2,3,198,211,13
